18
2
30.0,370.0,530.0,380.0
458.0,261.0,468.0,271.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20.0,50.0,70.0,70.0
120.0,50.0,170.0,70.0
220.0,50.0,270.0,70.0
320.0,50.0,370.0,70.0
420.0,50.0,470.0,70.0
520.0,50.0,570.0,70.0
70.0,70.0,120.0,90.0
170.0,70.0,220.0,90.0
270.0,70.0,320.0,90.0
370.0,70.0,420.0,90.0
470.0,70.0,520.0,90.0
20.0,90.0,70.0,110.0
120.0,90.0,170.0,110.0
220.0,90.0,270.0,110.0
320.0,90.0,370.0,110.0
420.0,90.0,470.0,110.0
520.0,90.0,570.0,110.0
70.0,110.0,120.0,130.0
170.0,110.0,220.0,130.0
270.0,110.0,320.0,130.0
370.0,110.0,420.0,130.0
470.0,110.0,520.0,130.0
20.0,130.0,70.0,150.0
220.0,130.0,270.0,150.0
320.0,130.0,370.0,150.0
420.0,130.0,470.0,150.0
520.0,130.0,570.0,150.0
70.0,150.0,120.0,170.0
370.0,150.0,420.0,170.0
470.0,150.0,520.0,170.0
20.0,170.0,70.0,190.0
520.0,170.0,570.0,190.0
#00FFFF
#00FFFF
#00FFFF
#00FFFF
#00FFFF
#00FFFF
#00FF00
#00FF00
#00FF00
#00FF00
#00FF00
#FF00FF
#FF00FF
#FF00FF
#FF00FF
#FF00FF
#FF00FF
#9B0000
#9B0000
#9B0000
#9B0000
#9B0000
#0000FF
#0000FF
#0000FF
#0000FF
#0000FF
#FFFF00
#FFFF00
#FFFF00
#FFA500
#FFA500
